Transaction_ID,Customer_ID,Date,Time,Store_ID,Store_Name,Product_ID,Product_Name,Category,Price,Quantity,Total Amount,Sex,Join_Date,Date_of_Birth
T-20453,5475,2022-01-01,14:15:47,S-100,中野店,P-007,酒G,アルコール,1849,4,7396,Men,2022-03-19,1980-04-18
T-28462,973,2022-01-01,13:37:31,S-100,中野店,P-008,酒H,アルコール,762,3,2286,Men,2022-03-05,1980-07-14
T-26756,8607,2022-01-01,13:34:19,S-100,中野店,P-006,酒F,アルコール,1193,2,2386,Men,2022-09-09,2000-08-28
T-13917,2600,2022-01-01,17:25:38,S-100,中野店,P-014,酒N,アルコール,1743,1,1743,Women,2022-05-28,1990-10-23
T-8647,8300,2022-01-01,13:39:13,S-100,中野店,P-015,酒O,アルコール,1192,4,4768,Men,2022-11-12,1970-02-15
T-18436,3231,2022-01-01,18:07:13,S-100,中野店,P-005,酒E,アルコール,875,5,4375,Women,2022-03-24,1990-11-19
T-17696,7366,2022-01-01,15:34:37,S-100,中野店,P-009,酒I,アルコール,141,2,282,Men,2022-05-03,1990-06-14
T-16126,4098,2022-01-01,14:16:07,S-100,中野店,P-013,酒M,アルコール,570,5,2850,Women,2022-08-03,1980-01-21
T-17052,4943,2022-01-01,13:18:09,S-100,中野店,P-021,酒U,アルコール,1432,3,4296,Men,2022-08-11,1980-09-14
T-20901,1717,2022-01-01,14:30:51,S-100,中野店,P-011,酒K,アルコール,1023,1,1023,Women,2022-11-19,1980-12-17
T-16423,8720,2022-01-01,18:15:56,S-100,中野店,P-014,酒N,アルコール,465,2,930,Women,2023-08-25,1990-09-06
T-19920,8477,2022-01-01,19:32:18,S-100,中野店,P-012,酒L,アルコール,523,1,523,Women,2022-09-16,1980-07-16
T-3203,3566,2022-01-01,16:22:19,S-100,中野店,P-017,酒Q,アルコール,1932,5,9660,Women,2022-09-15,1990-09-12
T-8514,4003,2022-01-01,13:47:02,S-100,中野店,P-017,酒Q,アルコール,1686,1,1686,Men,2022-09-24,1990-11-10
T-7354,8895,2022-01-01,12:51:46,S-100,中野店,P-008,酒H,アルコール,974,3,2922,Men,2022-06-03,1990-08-12
T-19546,6516,2022-01-01,15:40:05,S-100,中野店,P-019,酒S,アルコール,615,1,615,Women,2022-01-07,1980-10-19
T-20413,4843,2022-01-01,17:58:14,S-100,中野店,P-002,酒B,アルコール,892,3,2676,Men,2022-08-15,1990-11-26
T-1442,9097,2022-01-01,12:28:17,S-100,中野店,P-001,酒A,アルコール,464,2,928,Women,2022-11-11,1980-09-23
T-21810,3106,2022-01-01,13:17:44,S-100,中野店,P-024,酒X,アルコール,860,4,3440,Women,2023-02-12,1980-02-03
